idx,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
73,GMX Mail,COMMUNICATION,4.3,258556,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"July 25, 2018",Varies with device,Varies with device
74,Calls & Text by Mo+,COMMUNICATION,4.2,83239,14M,"5,000,000+",Free,0,Everyone,Communication,"April 19, 2018",3.0.4,4.0 and up
75,"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500,24M,"100,000,000+",Free,0,Everyone,Communication,"August 1, 2018",7.73,4.0 and up
76,GroupMe,COMMUNICATION,4.5,330761,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"July 3, 2018",Varies with device,Varies with device
77,BBM - Free Calls & Messages,COMMUNICATION,4.3,12842860,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"August 2, 2018",Varies with device,4.0.3 and up
78,2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,32M,"1,000,000+",Free,0,Everyone,Communication,"August 3, 2018",5.65.0,4.0 and up
79,"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916,6.1M,"50,000,000+",Free,0,Everyone,Communication,"July 31, 2018",5.22.18.0006,4.0 and up
80,DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133501,4.7M,"10,000,000+",Free,0,Everyone,Communication,"April 1, 2016",6.4.0.4,4.0 and up
81,Contacts+,COMMUNICATION,4.2,190613,11M,"10,000,000+",Free,0,Everyone,Communication,"July 31, 2018",5.85.1,4.0.3 and up
82,ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232,2.7M,"10,000,000+",Free,0,Everyone,Communication,"March 5, 2017",196,2.1 and up
83,Full Screen Caller ID,COMMUNICATION,4.2,104990,10M,"5,000,000+",Free,0,Everyone,Communication,"May 15, 2018",3.5.0,4.0.3 and up
84,"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483565,20M,"10,000,000+",Free,0,Everyone,Communication,"July 29, 2018",1.286,4.1 and up
85,CIA - Caller ID & Call Blocker,COMMUNICATION,4.0,60308,Varies with device,"5,000,000+",Free,0,Everyone,Communication,"June 22, 2018",Varies with device,Varies with device
86,Calls Blacklist - Call Blocker,COMMUNICATION,4.5,457283,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"May 24, 2018",Varies with device,Varies with device
87,Call Control - Call Blocker,COMMUNICATION,4.4,93825,11M,"5,000,000+",Free,0,Everyone,Communication,"July 5, 2018",2.17.3,4.1 and up
88,Burner - Free Phone Number,COMMUNICATION,4.3,14873,Varies with device,"1,000,000+",Free,0,Everyone,Communication,"July 12, 2018",Varies with device,Varies with device
89,Caller ID +,COMMUNICATION,4.0,9498,118k,"1,000,000+",Free,0,Everyone,Communication,"June 7, 2016",5.28.0,2.3 and up
90,All Email Providers,COMMUNICATION,4.1,20901,7.3M,"1,000,000+",Free,0,Everyone,Communication,"April 3, 2018",5.0.9,4.1 and up
91,GO Notifier,COMMUNICATION,4.2,124346,695k,"10,000,000+",Free,0,Everyone,Communication,"July 6, 2014",2.8,2.0 and up
92,"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56M,"100,000+",Free,0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up
93,Hinge: Dating & Relationships,DATING,4.2,7779,12M,"500,000+",Free,0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up
94,BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up
95,CMB Free Dating App,DATING,4.0,48845,40M,"1,000,000+",Free,0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up
96,Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1M,"5,000,000+",Free,0,Mature 17+,Dating,"August 4, 2018",1.639,4.0 and up
97,Black People Meet Singles Date,DATING,3.9,10212,5.0M,"1,000,000+",Free,0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up
98,Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27M,"10,000+",Free,0,Mature 17+,Dating,"August 3, 2018",1.308.us,4.1 and up
99,Free Dating Hook Up Messenger,DATING,3.3,1157,21M,"100,000+",Free,0,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up
100,BLK - Swipe. Match. Chat.,DATING,4.1,2067,24M,"100,000+",Free,0,Mature 17+,Dating,"July 25, 2018",1.6.1,4.4 and up
101,Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1643,31M,"500,000+",Free,0,Mature 17+,Dating,"July 3, 2018",4.5.5,4.1 and up
102,Free Dating & Flirt Chat - Choice of Love,DATING,4.0,42194,Varies with device,"5,000,000+",Free,0,Mature 17+,Dating,"July 24, 2018",Varies with device,Varies with device
103,BeWild Free Dating & Chat App,DATING,3.4,1999,8.0M,"100,000+",Free,0,Mature 17+,Dating,"February 3, 2017",1.6.5,4.2 and up
104,"FastMeet: Chat, Dating, Love",DATING,4.2,22544,5.9M,"1,000,000+",Free,0,Mature 17+,Dating,"July 27, 2018",1.31.4,4.0.3 and up
105,"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97684,7.9M,"1,000,000+",Free,0,Mature 17+,Dating,"July 10, 2018",1.230,4.0.3 and up
106,Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13046,13M,"500,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
107,Christian Dating For Free App,DATING,3.9,8722,13M,"500,000+",Free,0,Mature 17+,Dating,"June 20, 2018",15.8,4.1 and up
108,"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35206,7.2M,"1,000,000+",Free,0,Everyone,Dating,"May 21, 2018",2.9.6,4.0 and up
109,Free Dating App - Meet Local Singles - Flirt Chat,DATING,4.1,825,Varies with device,"100,000+",Free,0,Mature 17+,Dating,"December 28, 2017",1.0.5,4.0 and up
110,"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135418,Varies with device,"10,000,000+",Free,0,Mature 17+,Dating,"July 7, 2018",Varies with device,Varies with device
111,Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41M,"100,000+",Free,0,Mature 17+,Dating,"June 20, 2018",2.0.5,4.0.3 and up
112,BBWCupid - BBW Dating App,DATING,3.5,241,2.8M,"50,000+",Free,0,Mature 17+,Dating,"June 1, 2018",2.2.0.1748,5.0 and up
113,ChatVideo Meet new people,DATING,4.2,63986,20M,"5,000,000+",Free,0,Mature 17+,Dating,"May 31, 2018",3.0.15,4.0 and up
114,FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2430,13M,"500,000+",Free,0,Mature 17+,Dating,"July 26, 2018",12.0.4,4.1 and up
115,"Herpes Dating: 1,000K+ Singles",DATING,4.0,738,27M,"10,000+",Free,0,Mature 17+,Dating,"August 1, 2018",6.4.1,4.1 and up
116,95Live -SG#1 Live Streaming App,DATING,4.1,4953,15M,"1,000,000+",Free,0,Teen,Dating,"August 1, 2018",8.7.2,4.2 and up
117,2RedBeans,DATING,4.0,337,32M,"10,000+",Free,0,Mature 17+,Dating,"July 31, 2018",2.8.0,4.3 and up
118,"BiggerCity: Chat for gay bears, chubs & chasers",DATING,4.1,923,44M,"100,000+",Free,0,Mature 17+,Dating,"August 2, 2018",3.4.1.1,4.1 and up
119,Herpes Positive Singles Dating,DATING,4.4,198,28M,"10,000+",Free,0,Mature 17+,Dating,"May 18, 2018",5.5.7,4.1 and up
120,BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.4,218,27M,"10,000+",Free,0,Mature 17+,Dating,"July 23, 2018",5.2.9,4.1 and up
121,Hitwe - meet people and chat,DATING,4.2,243950,21M,"10,000,000+",Free,0,Mature 17+,Dating,"May 10, 2018",4.3.2,4.1 and up
122,FERZU - Furries Social Network,DATING,3.9,1576,Varies with device,"10,000+",Free,0,Mature 17+,Dating,"February 16, 2018",4.4.1,4.1 and up
123,"2Date Dating App, Love and matching",DATING,4.4,41605,8.1M,"500,000+",Free,0,Mature 17+,Dating,"July 26, 2018",4.813,4.0.3 and up
124,Free Live Talk-Video Call,DATING,4.7,158,4.5M,"10,000+",Free,0,Mature 17+,Dating,"July 5, 2018",8.2,4.0.3 and up
125,Duolingo: Learn Languages Free,EDUCATION,4.7,6289924,Varies with device,"100,000,000+",Free,0,Everyone,Education;Education,"August 1, 2018",Varies with device,Varies with device
126,Babbel – Learn Languages,EDUCATION,4.3,266948,21M,"10,000,000+",Free,0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up
127,Flippy Campus - Buy & sell on campus at a discount,EDUCATION,4.0,889,7.4M,"500,000+",Free,0,Everyone,Education,"March 9, 2018",2.2.4,4.2 and up
128,ABC Preschool Free,EDUCATION,3.8,27572,25M,"5,000,000+",Free,0,Everyone,Education;Education,"October 25, 2017",3.0,2.3 and up
129,English with Lingualeo,EDUCATION,4.7,254519,27M,"5,000,000+",Free,0,Everyone,Education,"July 20, 2018",2.8.1,4.1 and up
130,Brilliant,EDUCATION,4.5,41185,Varies with device,"1,000,000+",Free,0,Everyone,Education,"August 3, 2018",Varies with device,Varies with device
131,C++ Tutorials,EDUCATION,4.1,358,1.9M,"50,000+",Free,0,Everyone,Education,"August 21, 2014",1.1,2.3 and up
132,C++ Programming,EDUCATION,4.3,11904,1.8M,"1,000,000+",Free,0,Everyone,Education,"August 22, 2015",2.0,2.3 and up
133,C Programming,EDUCATION,4.3,22251,1.8M,"1,000,000+",Free,0,Everyone,Education,"June 28, 2015",3.0,2.3 and up
134,GMAT Question Bank,EDUCATION,4.2,240,29M,"10,000+",Free,0,Everyone,Education,"April 29, 2015",1.2.0,2.3.3 and up
135,GRE Tutor,EDUCATION,4.0,275,2.3M,"50,000+",Free,0,Everyone,Education,"December 2, 2013",2.9,2.1 and up
136,GRE Flashcards,EDUCATION,4.5,13791,Varies with device,"500,000+",Free,0,Everyone,Education,"June 6, 2018",Varies with device,Varies with device
137,GMAT Math Flashcards,EDUCATION,4.4,1769,Varies with device,"100,000+",Free,0,Everyone,Education,"July 11, 2018",Varies with device,Varies with device
138,GRE Prep & Practice by Magoosh,EDUCATION,4.4,3963,Varies with device,"100,000+",Free,0,Everyone,Education,"June 6, 2018",Varies with device,Varies with device
139,Babbel – Learn Spanish,EDUCATION,4.4,54798,11M,"1,000,000+",Free,0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up
140,HomeWork,EDUCATION,4.3,16195,5.2M,"1,000,000+",Free,0,Everyone,Education,"September 20, 2016",8.5.2,4.0 and up
141,Common Core,EDUCATION,4.0,835,15M,"100,000+",Free,0,Everyone,Education,"December 20, 2016",2.3.1,2.3 and up
142,Homework Planner,EDUCATION,4.0,2525,1.2M,"100,000+",Free,0,Everyone,Education,"January 11, 2015",15.9.4,4.0 and up
143,Edmodo,EDUCATION,4.1,200058,18M,"10,000,000+",Free,0,Everyone,Education,"July 20, 2018",9.12.5,4.0.3 and up
144,"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,4.4,84309,41M,"5,000,000+",Free,0,Everyone,Education,"July 25, 2018",2.6.6,4.1 and up
145,Canvas Student,EDUCATION,4.5,42828,Varies with device,"1,000,000+",Free,0,Everyone,Education,"July 20, 2018",Varies with device,Varies with device
146,EasyBib: Citation Generator,EDUCATION,3.5,1405,7.3M,"100,000+",Free,0,Everyone,Education,"March 29, 2018",2.4.4,4.0 and up
147,Hotstar,ENTERTAINMENT,4.3,4885646,Varies with device,"100,000,000+",Free,0,Teen,Entertainment,"August 3, 2018",Varies with device,Varies with device
148,H TV,ENTERTAINMENT,4.3,103078,5.6M,"5,000,000+",Free,0,Everyone,Entertainment,"July 5, 2018",4.6.2,2.3.3 and up
149,DStv Now,ENTERTAINMENT,3.9,34923,Varies with device,"5,000,000+",Free,0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device
150,BBC Media Player,ENTERTAINMENT,3.4,87384,Varies with device,"10,000,000+",Free,0,Everyone,Entertainment,"September 14, 2016",Varies with device,Varies with device
151,Amazon Prime Video,ENTERTAINMENT,4.2,411683,24M,"50,000,000+",Free,0,Teen,Entertainment,"August 2, 2018",3.0.231.18141,4.1 and up
152,Cinemark Theatres,ENTERTAINMENT,4.1,21867,39M,"1,000,000+",Free,0,Teen,Entertainment,"July 12, 2018",2.19.0,5.0 and up
153,Fandango Movies - Times + Tickets,ENTERTAINMENT,4.6,243747,Varies with device,"10,000,000+",Free,0,Teen,Entertainment,"August 2, 2018",Varies with device,Varies with device
154,Harkins Theatres,ENTERTAINMENT,4.3,1511,12M,"100,000+",Free,0,Everyone,Entertainment,"June 11, 2018",2.1.1,4.1 and up
155,AMC Theatres,ENTERTAINMENT,4.3,44550,72M,"1,000,000+",Free,0,Everyone,Entertainment,"July 18, 2018",6.18.3,5.0 and up
156,Food Network,ENTERTAINMENT,4.1,7813,Varies with device,"500,000+",Free,0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device
157,Cooking Channel,ENTERTAINMENT,4.1,1033,16M,"100,000+",Free,0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device
158,Animal Planet GO,ENTERTAINMENT,4.2,2442,9.6M,"100,000+",Free,0,Teen,Entertainment,"July 24, 2018",2.9.4,4.1 and up
159,Crunchyroll - Everything Anime,ENTERTAINMENT,3.7,310066,Varies with device,"10,000,000+",Free,0,Teen,Entertainment,"March 5, 2018",Varies with device,Varies with device
160,Acorn TV: World-class TV from Britain and Beyond,ENTERTAINMENT,3.0,493,23M,"50,000+",Free,0,Everyone,Entertainment,"June 15, 2018",2.0.0,4.4 and up
161,HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387,20M,"1,000,000+",Free,0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up
162,FOX NOW - On Demand & Live TV,ENTERTAINMENT,3.9,60841,Varies with device,"5,000,000+",Free,0,Teen,Entertainment,"July 26, 2018",Varies with device,4.4 and up
163,A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4.0,29706,19M,"1,000,000+",Free,0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up
164,BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19M,"1,000,000+",Free,0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up
165,Comedy Central,ENTERTAINMENT,3.9,22378,19M,"1,000,000+",Free,0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up
166,CW Seed,ENTERTAINMENT,4.5,16372,13M,"500,000+",Free,0,Teen,Entertainment,"July 18, 2018",1.16,4.4 and up
167,HBO GO: Stream with TV Package,ENTERTAINMENT,3.8,87723,32M,"10,000,000+",Free,0,Teen,Entertainment,"July 19, 2018",16.0.0.437,4.1 and up
168,FOX,ENTERTAINMENT,3.7,197774,44M,"10,000,000+",Free,0,Mature 17+,Entertainment,"June 25, 2018",6.6.1,4.4 and up
169,Hamilton — The Official App,ENTERTAINMENT,4.5,1575,43M,"100,000+",Free,0,Everyone,Entertainment,"July 13, 2018",2.3.2,5.0 and up
170,Funny Pics,ENTERTAINMENT,3.9,9941,Varies with device,"1,000,000+",Free,0,Teen,Entertainment,"July 7, 2017",Varies with device,Varies with device
171,Colorfy: Coloring Book for Adults - Free,ENTERTAINMENT,4.5,787177,Varies with device,"10,000,000+",Free,0,Everyone,Entertainment,"June 20, 2018",Varies with device,Varies with device
172,All Events in City,EVENTS,4.0,3782,9.5M,"100,000+",Free,0,Everyone,Events,"June 12, 2018",8.4,4.0.3 and up
173,DroidAdmin for Android - Advice,EVENTS,4.2,811,2.8M,"10,000+",Free,0,Everyone,Events,"May 29, 2018",3.8,4.0 and up
